x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16
10.365899,202.15102,10.137948,14.520718,204.6159,8.275582,8.081823,206.41301,7.9699693,17.511173,202.64243,-2.1067843,1.5686994,206.46716,-0.1855402,15.898814,184.72353,-14.59568,-13.776802,194.88177,-2.8212705,35.11242,172.49023,-27.651964,-39.417225,199.62387,2.3037205,57.752888,179.50638,-28.547157,-60.03427,208.04753,12.353664,3.5698247,137.87119,-0.12977473,-17.997833,139.86829,1.373155,0.2495174,105.23585,19.194294,-13.795514,103.12396,8.017804,-13.28602,72.88113,24.331015,-6.3241086,76.9117,-17.91898
10.285192,202.13777,10.276175,14.448877,204.61148,8.44305,8.012534,206.39304,8.084912,17.608845,202.65462,-1.8872291,1.6568161,206.45737,-0.20033778,15.863243,184.78752,-14.590594,-13.764661,194.9777,-2.7779431,35.129963,172.35988,-27.134268,-39.467663,199.34242,1.6860452,57.876343,179.207,-27.627417,-60.10773,207.84102,11.670813,3.4608104,137.98047,-0.17326607,-17.995846,139.97797,1.2891405,0.2651931,105.259026,18.96359,-13.6993685,103.115944,7.8032036,-13.262503,72.88097,24.248018,-6.310047,76.87066,-18.073893
10.187203,202.18785,10.446878,14.335641,204.72461,8.681893,7.873279,206.42845,8.263489,17.695517,202.77655,-1.6169667,1.6930116,206.46338,-0.14746146,15.949966,184.82353,-14.391767,-13.676046,195.03781,-2.861757,35.314713,172.3393,-26.463247,-39.551746,199.26105,1.0928532,58.0992,178.84232,-26.458292,-60.377583,207.6577,10.793091,3.3752975,138.11176,-0.3169162,-17.957014,140.03323,1.0874448,0.053878102,105.21401,18.57111,-13.5118265,103.21203,7.446139,-13.225912,72.83466,24.091534,-6.277578,76.77732,-18.218023
10.179642,202.38597,10.6402,14.317565,204.92993,8.851732,7.850734,206.63293,8.476011,17.761126,203.08084,-1.3751744,1.6539328,206.58026,0.021385614,16.173681,185.04945,-13.937064,-13.585234,195.2866,-3.0326173,35.650875,172.22144,-25.462421,-39.587383,199.2792,0.5602675,58.455093,178.58453,-25.035698,-60.755177,207.38582,9.769359,3.1798346,138.39134,-0.6131414,-18.027191,140.23538,0.7652633,-0.31585327,105.28074,17.92366,-13.579107,103.3325,6.9278426,-13.093661,72.92963,23.984903,-6.2788744,76.64863,-18.46451
10.119489,202.7457,10.866719,14.201925,205.33234,9.012567,7.711125,206.93935,8.694328,17.773163,203.53699,-1.1493618,1.6524783,206.9749,0.23500691,16.480259,185.67,-13.405302,-13.579885,195.58345,-3.2783768,36.101997,172.32439,-24.349773,-39.66681,199.24873,-0.0773633,58.98787,178.31743,-23.383932,-61.16861,207.08348,8.701128,3.125241,138.64493,-0.9108966,-18.045801,140.51192,0.34413898,-0.7837936,105.34566,17.232841,-13.5849285,103.61934,6.3753977,-12.991619,72.890495,23.773605,-6.332101,76.54211,-18.680727
10.078821,203.19217,11.123006,14.100315,205.84569,9.2249975,7.584904,207.36897,9.013655,17.725674,204.06644,-0.8945692,1.580885,207.41714,0.50802827,16.722883,186.20055,-13.038458,-13.576101,195.98552,-3.5376759,36.500492,172.53159,-23.220547,-39.763115,199.15356,-0.7453526,59.49119,178.13243,-21.654362,-61.56948,206.70222,7.3712435,3.1844327,138.8714,-1.1197315,-18.024597,140.8722,-0.016051374,-1.1269214,105.377716,16.529863,-13.61822,103.81546,5.7507644,-13.048097,72.90557,23.61083,-6.2430625,76.53928,-18.905642
9.935408,203.62581,11.383295,13.905104,206.31758,9.431642,7.3740935,207.76491,9.276872,17.61805,204.65155,-0.59887457,1.4271995,207.77075,0.7727782,17.024607,186.7053,-12.563966,-13.439828,196.30463,-3.7608418,37.015797,172.89604,-22.146088,-39.797745,198.87306,-1.4553243,60.070946,178.07146,-19.89571,-62.061844,206.29442,6.0231357,3.2501023,139.14206,-1.3107038,-17.917416,141.17113,-0.49960485,-1.5374755,105.52765,15.806469,-13.773754,104.10732,5.094621,-12.979949,72.90072,23.536749,-6.1132927,76.49991,-19.09445
9.6439495,204.16452,11.651878,13.655816,206.79457,9.716346,7.139303,208.33931,9.542619,17.459179,205.24051,-0.24946643,1.1905295,208.1262,0.9303719,17.473627,187.09488,-12.233094,-13.286217,196.45439,-4.03463,37.661816,173.11243,-21.002737,-39.821884,198.41087,-2.170223,60.640656,178.15271,-18.010885,-62.524265,205.25113,4.3662524,3.3249445,139.27968,-1.4543331,-17.879747,141.40707,-1.087652,-1.8133619,105.52597,15.1993065,-13.950963,104.38731,4.5397077,-12.906362,72.85424,23.47776,-6.0070186,76.467415,-19.181221
9.353242,204.42674,11.928832,13.362968,207.10046,10.054724,6.830728,208.57349,9.798451,17.202993,205.70627,0.084938504,0.9257158,208.40999,1.1799635,17.899632,187.53773,-11.911946,-13.159498,196.71864,-4.288154,38.45093,173.38664,-19.584627,-39.70799,197.66647,-2.9697025,61.266132,178.36377,-15.853913,-62.842148,203.92079,2.58468,3.4402032,139.51936,-1.7084858,-17.84201,141.6354,-1.7833015,-2.142691,105.645706,14.591124,-14.2786665,104.618576,3.9454746,-12.812121,72.83802,23.321136,-5.947422,76.555336,-19.389193
8.9254,204.83998,12.192283,12.898806,207.62091,10.392599,6.3491173,208.98456,10.114277,16.927097,206.17271,0.43281952,0.62887853,208.77902,1.358754,18.320368,187.86804,-11.522101,-13.040932,196.83519,-4.5904856,39.345173,173.84023,-17.990944,-39.651398,196.80414,-4.0279455,61.988728,178.74208,-13.382253,-63.124275,202.55815,0.9944929,3.5216165,139.68005,-2.1016734,-17.697655,141.81897,-2.47352,-2.4464965,105.70428,13.959709,-14.402642,104.70515,3.2460947,-12.776364,72.9556,23.10864,-5.7654204,76.41215,-19.710747
8.481399,204.90857,12.416163,12.365788,207.81065,10.611984,5.791697,209.06215,10.513569,16.56863,206.5112,0.721379,0.21716301,208.93658,1.610135,18.73051,188.13148,-11.248359,-12.952967,196.9132,-5.0244937,40.204086,174.29807,-16.18696,-39.695114,195.63828,-5.311283,62.59249,179.1418,-10.514065,-63.341476,200.88647,-0.48543027,3.7196853,139.81601,-2.5916545,-17.539755,141.98415,-3.2700732,-2.55691,105.79551,13.359626,-14.565067,104.839806,2.4579215,-12.562392,73.07405,22.96538,-5.4577713,76.39222,-20.02384
8.174882,205.00847,12.660963,11.946816,208.02986,10.816325,5.330731,209.06781,10.797415,16.246935,206.78215,0.9684083,-0.121689916,208.8923,1.8199278,19.234808,188.40869,-10.857185,-13.021781,196.83063,-5.6109266,41.044945,174.71191,-14.289841,-39.732704,194.30255,-6.4101562,62.980553,179.78479,-7.3401694,-63.657616,198.84572,-1.868302,3.8153622,139.82947,-3.103425,-17.421915,142.10077,-4.2704406,-2.7265968,105.88137,12.771334,-14.552786,104.99469,1.4950356,-12.342833,73.16772,22.78409,-5.197108,76.26153,-20.363052
7.6678195,204.9806,12.799758,11.340695,208.13458,10.969393,4.6998897,208.9401,10.91364,15.851,207.066,1.2221755,-0.5582124,208.85164,1.9378712,19.764595,188.60538,-10.616194,-13.143749,196.49829,-6.103648,41.794468,174.94464,-12.396108,-39.658684,192.77475,-7.533146,63.086254,180.36938,-4.0293236,-63.768593,196.43039,-2.8852108,4.119618,139.7375,-3.6396523,-17.180538,142.07315,-5.345493,-2.7519052,105.960236,12.304393,-14.5115185,105.104675,0.57047015,-11.964378,73.24676,22.500568,-4.786759,76.19544,-20.669493
7.170442,204.98741,12.893746,10.763601,208.20068,11.022944,4.0985146,208.85979,10.978507,15.48279,207.33202,1.4582797,-0.96576107,208.79614,1.9698457,20.189253,188.89003,-10.457518,-13.264518,196.231,-6.7005234,42.277233,175.18262,-10.352638,-39.584023,190.87035,-8.633328,62.93359,181.16924,-0.5161969,-63.789898,193.56699,-3.838704,4.544957,139.8614,-4.138016,-16.899485,142.1338,-6.5035677,-2.5877829,106.11046,11.877213,-14.539792,105.30554,-0.2672093,-11.458756,73.31259,22.177973,-4.370367,76.21379,-20.970806
6.5710564,204.91092,12.93944,10.105768,208.16087,11.0052395,3.4402454,208.69138,10.941643,15.006176,207.40721,1.6198529,-1.4078085,208.74248,1.8973764,20.610428,189.05687,-10.1442,-13.405276,195.98853,-7.434142,42.79865,175.47194,-8.224855,-39.303078,188.85207,-9.866978,62.51967,181.97948,3.0047145,-63.5472,190.35796,-4.3273535,4.9819207,139.97035,-4.732819,-16.510504,142.1817,-7.8473797,-2.3117998,106.35547,11.699197,-14.478543,105.41596,-0.9895066,-10.944624,73.45962,21.738274,-4.1250787,76.18577,-21.278503
5.971458,204.76102,12.850858,9.492392,208.03279,10.942993,2.815744,208.47847,10.786279,14.534504,207.42624,1.6494462,-1.9019892,208.45648,1.6471032,20.997389,189.24512,-9.785377,-13.589188,195.63107,-8.394913,42.95824,175.6787,-6.103258,-38.963333,186.82487,-10.730805,61.79795,182.56148,6.494087,-63.21873,187.16185,-4.8746686,5.3802056,139.8395,-5.1848,-16.028,141.94473,-9.176134,-1.911489,106.6523,11.956075,-14.26305,105.38804,-1.64809,-10.325649,73.45194,21.191511,-3.7464552,76.08608,-21.620308
